
-------------------------------------
(0, 1)
Recomb: 0p/1s + 1p/0s | 0c/1c0a, Avg Cost: 0.00, Overall Prob: 19.47%
Recomb: 0p/1s + 1p/0s | 1c/0c0a, Avg Cost: 0.00, Overall Prob: 19.47%
Recomb: 0p/1s + 1p/0s | 0c/0c1a, Avg Cost: 0.00, Overall Prob: 14.60%

-------------------------------------
(2, 0)
Recomb: 1p/0s + 1p/0s | 2c/0c1a, Avg Cost: 0.00, Overall Prob: 42.05%
Recomb: 1p/0s + 1p/0s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 36.00%
Recomb: 1p/0s + 1p/0s | 0c/1c1a, Avg Cost: 0.00, Overall Prob: 33.00%
Recomb: 1p/0s + 1p/0s | 0c/2c0a, Avg Cost: 0.00, Overall Prob: 33.00%
Recomb: 1p/0s + 1p/0s | 0c/2c1a, Avg Cost: 0.00, Overall Prob: 33.00%
Recomb: 1p/0s + 1p/0s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 31.00%
Recomb: 1p/0s + 1p/0s | 1c/0c1a, Avg Cost: 0.00, Overall Prob: 23.29%
Recomb: 1p/0s + 1p/0s | 1c/1c0a, Avg Cost: 0.00, Overall Prob: 23.29%
Recomb: 1p/0s + 1p/0s | 0c/0c1a, Avg Cost: 0.00, Overall Prob: 19.47%
Recomb: 1p/0s + 1p/0s | 0c/1c0a, Avg Cost: 0.00, Overall Prob: 19.47%
Recomb: 1p/0s + 1p/0s | 1c/0c0a, Avg Cost: 0.00, Overall Prob: 10.00%

-------------------------------------
(0, 3)
Recomb: 0p/2s + 1p/1s | 1c/1c2a, Avg Cost: 0.00, Overall Prob: 27.86%
Recomb: 0p/2s + 0p/2s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 22.93%
Recomb: 0p/2s + 1p/1s | 1c/0c2a, Avg Cost: 0.00, Overall Prob: 22.06%
Recomb: 0p/2s + 1p/1s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 22.06%
Recomb: 0p/2s + 0p/1s | 1c/1c2a, Avg Cost: 0.00, Overall Prob: 18.27%
Recomb: 0p/2s + 0p/2s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 15.71%
Recomb: 0p/2s + 0p/1s | 1c/0c2a, Avg Cost: 0.00, Overall Prob: 14.46%
Recomb: 0p/2s + 0p/1s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 14.46%
Recomb: 0p/2s + 0p/2s | 1c/0c0a, Avg Cost: 0.00, Overall Prob: 13.53%
Recomb: 0p/2s + 0p/1s | 2c/0c1a, Avg Cost: 0.00, Overall Prob: 13.33%
Recomb: 0p/2s + 0p/2s | 1c/0c1a, Avg Cost: 0.00, Overall Prob: 12.44%
Recomb: 0p/2s + 0p/2s | 1c/1c0a, Avg Cost: 0.00, Overall Prob: 12.44%
Recomb: 0p/2s + 1p/1s | 1c/0c1a, Avg Cost: 0.00, Overall Prob: 12.00%
Recomb: 0p/2s + 1p/1s | 1c/1c0a, Avg Cost: 0.00, Overall Prob: 12.00%
Recomb: 0p/2s + 1p/1s | 2c/0c1a, Avg Cost: 0.00, Overall Prob: 12.00%
Recomb: 0p/2s + 0p/1s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 8.60%
Recomb: 0p/2s + 0p/1s | 1c/0c1a, Avg Cost: 0.00, Overall Prob: 7.86%
Recomb: 0p/2s + 0p/1s | 1c/1c0a, Avg Cost: 0.00, Overall Prob: 7.86%
Recomb: 0p/2s + 1p/1s | 1c/0c0a, Avg Cost: 0.00, Overall Prob: 7.74%
Recomb: 0p/2s + 1p/1s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 7.74%
Recomb: 0p/2s + 0p/1s | 1c/0c0a, Avg Cost: 0.00, Overall Prob: 5.07%
Recomb: 0p/2s + 1p/1s | 0c/0c0a, Avg Cost: 0.00, Overall Prob: 2.28%

-------------------------------------
(1, 2)
Recomb: 1p/1s + 1p/1s | 0c/2c2a, Avg Cost: 0.00, Overall Prob: 48.60%
Recomb: 0p/2s + 2p/0s | 0c/2c2a, Avg Cost: 0.00, Overall Prob: 44.38%
Recomb: 1p/1s + 1p/1s | 0c/2c1a, Avg Cost: 0.00, Overall Prob: 41.04%
Recomb: 1p/1s + 1p/1s | 1c/1c2a, Avg Cost: 0.00, Overall Prob: 37.94%
Recomb: 0p/2s + 2p/0s | 0c/2c1a, Avg Cost: 0.00, Overall Prob: 37.47%
Recomb: 1p/1s + 1p/1s | 2c/0c2a, Avg Cost: 0.00, Overall Prob: 36.99%
Recomb: 1p/1s + 1p/1s | 0c/1c2a, Avg Cost: 0.00, Overall Prob: 35.91%
Recomb: 0p/2s + 2p/0s | 1c/1c2a, Avg Cost: 0.00, Overall Prob: 34.64%
Recomb: 0p/2s + 2p/0s | 2c/0c2a, Avg Cost: 0.00, Overall Prob: 33.78%
Recomb: 0p/2s + 2p/0s | 0c/1c2a, Avg Cost: 0.00, Overall Prob: 32.79%
Recomb: 1p/1s + 0p/1s | 0c/2c2a, Avg Cost: 0.00, Overall Prob: 31.86%
Recomb: 1p/1s + 1p/1s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 30.97%
Recomb: 0p/2s + 1p/0s | 0c/2c2a, Avg Cost: 0.00, Overall Prob: 30.44%
Recomb: 1p/1s + 0p/1s | 2c/0c2a, Avg Cost: 0.00, Overall Prob: 29.76%
Recomb: 0p/2s + 1p/1s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 29.75%
Recomb: 0p/2s + 1p/1s | 0c/2c1a, Avg Cost: 0.00, Overall Prob: 29.23%
Recomb: 1p/1s + 0p/1s | 1c/1c2a, Avg Cost: 0.00, Overall Prob: 29.10%
Recomb: 0p/2s + 1p/0s | 2c/0c2a, Avg Cost: 0.00, Overall Prob: 28.44%
Recomb: 0p/2s + 2p/0s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 28.28%
Recomb: 0p/2s + 1p/1s | 1c/1c2a, Avg Cost: 0.00, Overall Prob: 28.25%
Recomb: 0p/2s + 1p/0s | 1c/1c2a, Avg Cost: 0.00, Overall Prob: 27.81%
Recomb: 0p/2s + 1p/1s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 27.48%
Recomb: 1p/1s + 0p/1s | 0c/2c1a, Avg Cost: 0.00, Overall Prob: 26.90%
Recomb: 1p/1s + 1p/1s | 1c/0c2a, Avg Cost: 0.00, Overall Prob: 26.78%
Recomb: 0p/2s + 1p/1s | 0c/2c0a, Avg Cost: 0.00, Overall Prob: 26.03%
Recomb: 0p/2s + 1p/0s | 0c/2c1a, Avg Cost: 0.00, Overall Prob: 25.71%
Recomb: 0p/2s + 1p/1s | 2c/0c1a, Avg Cost: 0.00, Overall Prob: 25.59%
Recomb: 0p/2s + 1p/1s | 0c/1c2a, Avg Cost: 0.00, Overall Prob: 25.57%
Recomb: 1p/1s + 1p/1s | 0c/2c0a, Avg Cost: 0.00, Overall Prob: 25.11%
Recomb: 0p/2s + 2p/0s | 1c/0c2a, Avg Cost: 0.00, Overall Prob: 24.46%
Recomb: 1p/1s + 1p/1s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 24.06%
Recomb: 1p/1s + 1p/1s | 2c/0c1a, Avg Cost: 0.00, Overall Prob: 23.95%
Recomb: 1p/1s + 0p/1s | 0c/1c2a, Avg Cost: 0.00, Overall Prob: 23.54%
Recomb: 0p/2s + 1p/1s | 1c/1c0a, Avg Cost: 0.00, Overall Prob: 23.49%
Recomb: 0p/2s + 2p/0s | 0c/2c0a, Avg Cost: 0.00, Overall Prob: 22.93%
Recomb: 1p/1s + 0p/1s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 22.67%
Recomb: 0p/2s + 1p/0s | 0c/1c2a, Avg Cost: 0.00, Overall Prob: 22.49%
Recomb: 0p/2s + 2p/0s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 21.97%
Recomb: 0p/2s + 2p/0s | 2c/0c1a, Avg Cost: 0.00, Overall Prob: 21.87%
Recomb: 0p/2s + 1p/1s | 0c/1c1a, Avg Cost: 0.00, Overall Prob: 21.69%
Recomb: 0p/2s + 1p/0s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 21.66%
Recomb: 1p/1s + 1p/1s | 0c/1c1a, Avg Cost: 0.00, Overall Prob: 20.93%
Recomb: 0p/2s + 1p/1s | 1c/0c2a, Avg Cost: 0.00, Overall Prob: 20.12%
Recomb: 1p/1s + 1p/1s | 1c/1c0a, Avg Cost: 0.00, Overall Prob: 19.62%
Recomb: 0p/2s + 2p/0s | 0c/1c1a, Avg Cost: 0.00, Overall Prob: 19.11%
Recomb: 1p/1s + 0p/1s | 2c/0c1a, Avg Cost: 0.00, Overall Prob: 18.80%
Recomb: 1p/1s + 0p/1s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 18.41%
Recomb: 1p/1s + 0p/1s | 1c/0c2a, Avg Cost: 0.00, Overall Prob: 18.02%
Recomb: 0p/2s + 1p/0s | 2c/0c1a, Avg Cost: 0.00, Overall Prob: 17.96%
Recomb: 0p/2s + 2p/0s | 1c/1c0a, Avg Cost: 0.00, Overall Prob: 17.91%
Recomb: 0p/2s + 1p/0s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 17.60%
Recomb: 0p/2s + 1p/1s | 0c/0c2a, Avg Cost: 0.00, Overall Prob: 17.35%
Recomb: 0p/2s + 1p/0s | 1c/0c2a, Avg Cost: 0.00, Overall Prob: 17.21%
Recomb: 1p/1s + 1p/1s | 1c/0c1a, Avg Cost: 0.00, Overall Prob: 16.92%
Recomb: 1p/1s + 1p/1s | 0c/0c2a, Avg Cost: 0.00, Overall Prob: 16.74%
Recomb: 1p/1s + 1p/1s | 1c/0c0a, Avg Cost: 0.00, Overall Prob: 16.57%
Recomb: 1p/1s + 0p/1s | 0c/2c0a, Avg Cost: 0.00, Overall Prob: 16.46%
Recomb: 0p/2s + 1p/1s | 1c/0c0a, Avg Cost: 0.00, Overall Prob: 15.84%
Recomb: 0p/2s + 1p/0s | 0c/2c0a, Avg Cost: 0.00, Overall Prob: 15.73%
Recomb: 0p/2s + 1p/1s | 1c/0c1a, Avg Cost: 0.00, Overall Prob: 15.49%
Recomb: 0p/2s + 2p/0s | 1c/0c1a, Avg Cost: 0.00, Overall Prob: 15.45%
Recomb: 0p/2s + 2p/0s | 0c/0c2a, Avg Cost: 0.00, Overall Prob: 15.29%
Recomb: 0p/2s + 2p/0s | 1c/0c0a, Avg Cost: 0.00, Overall Prob: 15.13%
Recomb: 0p/2s + 1p/1s | 0c/1c0a, Avg Cost: 0.00, Overall Prob: 14.16%
Recomb: 1p/1s + 0p/1s | 0c/1c1a, Avg Cost: 0.00, Overall Prob: 13.72%
Recomb: 1p/1s + 0p/1s | 1c/1c0a, Avg Cost: 0.00, Overall Prob: 13.71%
Recomb: 0p/2s + 1p/0s | 0c/1c1a, Avg Cost: 0.00, Overall Prob: 13.11%
Recomb: 0p/2s + 1p/0s | 1c/1c0a, Avg Cost: 0.00, Overall Prob: 13.10%
Recomb: 1p/1s + 0p/1s | 0c/0c2a, Avg Cost: 0.00, Overall Prob: 10.97%
Recomb: 1p/1s + 0p/1s | 1c/0c1a, Avg Cost: 0.00, Overall Prob: 10.71%
Recomb: 0p/2s + 1p/0s | 0c/0c2a, Avg Cost: 0.00, Overall Prob: 10.49%
Recomb: 0p/2s + 1p/0s | 1c/0c1a, Avg Cost: 0.00, Overall Prob: 10.23%
Recomb: 1p/1s + 0p/1s | 1c/0c0a, Avg Cost: 0.00, Overall Prob: 9.80%
Recomb: 0p/2s + 1p/1s | 0c/0c1a, Avg Cost: 0.00, Overall Prob: 9.44%
Recomb: 0p/2s + 1p/0s | 1c/0c0a, Avg Cost: 0.00, Overall Prob: 9.37%
Recomb: 1p/1s + 1p/1s | 0c/1c0a, Avg Cost: 0.00, Overall Prob: 8.10%
Recomb: 0p/2s + 2p/0s | 0c/1c0a, Avg Cost: 0.00, Overall Prob: 7.40%
Recomb: 1p/1s + 1p/1s | 0c/0c1a, Avg Cost: 0.00, Overall Prob: 5.40%
Recomb: 1p/1s + 0p/1s | 0c/1c0a, Avg Cost: 0.00, Overall Prob: 5.31%
Recomb: 0p/2s + 1p/0s | 0c/1c0a, Avg Cost: 0.00, Overall Prob: 5.07%
Recomb: 0p/2s + 2p/0s | 0c/0c1a, Avg Cost: 0.00, Overall Prob: 4.93%
Recomb: 1p/1s + 1p/1s | 0c/0c0a, Avg Cost: 0.00, Overall Prob: 4.41%
Recomb: 0p/2s + 2p/0s | 0c/0c0a, Avg Cost: 0.00, Overall Prob: 4.03%
Recomb: 1p/1s + 0p/1s | 0c/0c1a, Avg Cost: 0.00, Overall Prob: 3.54%
Recomb: 0p/2s + 1p/0s | 0c/0c1a, Avg Cost: 0.00, Overall Prob: 3.38%
Recomb: 0p/2s + 1p/1s | 0c/0c0a, Avg Cost: 0.00, Overall Prob: 2.28%

-------------------------------------
(2, 1)
Recomb: 1p/1s + 2p/0s | 0c/2c2a, Avg Cost: 0.00, Overall Prob: 41.99%
Recomb: 1p/1s + 2p/0s | 0c/2c1a, Avg Cost: 0.00, Overall Prob: 39.59%
Recomb: 1p/1s + 2p/0s | 0c/1c2a, Avg Cost: 0.00, Overall Prob: 35.99%
Recomb: 1p/1s + 2p/0s | 2c/0c2a, Avg Cost: 0.00, Overall Prob: 34.06%
Recomb: 1p/1s + 2p/0s | 1c/1c2a, Avg Cost: 0.00, Overall Prob: 32.90%
Recomb: 1p/1s + 2p/0s | 0c/2c0a, Avg Cost: 0.00, Overall Prob: 29.75%
Recomb: 1p/1s + 1p/1s | 2c/0c2a, Avg Cost: 0.00, Overall Prob: 28.96%
Recomb: 1p/1s + 2p/0s | 2c/0c1a, Avg Cost: 0.00, Overall Prob: 28.44%
Recomb: 1p/1s + 2p/0s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 28.19%
Recomb: 1p/1s + 1p/0s | 2c/0c2a, Avg Cost: 0.00, Overall Prob: 26.51%
Recomb: 2p/0s + 0p/2s | 2c/0c2a, Avg Cost: 0.00, Overall Prob: 26.44%
Recomb: 1p/1s + 2p/0s | 0c/1c1a, Avg Cost: 0.00, Overall Prob: 26.03%
Recomb: 1p/1s + 2p/0s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 26.03%
Recomb: 1p/1s + 1p/0s | 0c/2c2a, Avg Cost: 0.00, Overall Prob: 25.99%
Recomb: 2p/0s + 0p/1s | 2c/0c2a, Avg Cost: 0.00, Overall Prob: 25.33%
Recomb: 1p/1s + 1p/1s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 25.11%
Recomb: 2p/0s + 0p/1s | 0c/2c2a, Avg Cost: 0.00, Overall Prob: 24.83%
Recomb: 1p/1s + 1p/0s | 0c/2c1a, Avg Cost: 0.00, Overall Prob: 24.50%
Recomb: 1p/1s + 1p/1s | 0c/2c1a, Avg Cost: 0.00, Overall Prob: 24.50%
Recomb: 1p/1s + 1p/1s | 0c/2c0a, Avg Cost: 0.00, Overall Prob: 24.06%
Recomb: 1p/1s + 1p/1s | 2c/0c1a, Avg Cost: 0.00, Overall Prob: 23.85%
Recomb: 1p/1s + 2p/0s | 1c/1c0a, Avg Cost: 0.00, Overall Prob: 23.49%
Recomb: 2p/0s + 0p/1s | 0c/2c1a, Avg Cost: 0.00, Overall Prob: 23.41%
Recomb: 1p/1s + 1p/1s | 0c/2c2a, Avg Cost: 0.00, Overall Prob: 23.39%
Recomb: 2p/0s + 0p/2s | 2c/0c0a, Avg Cost: 0.00, Overall Prob: 22.93%
Recomb: 1p/1s + 2p/0s | 1c/0c2a, Avg Cost: 0.00, Overall Prob: 22.79%
Recomb: 2p/0s + 0p/2s | 0c/2c1a, Avg Cost: 0.00, Overall Prob: 22.37%
Recomb: 1p/1s + 2p/0s | 0c/0c2a, Avg Cost: 0.00, Overall Prob: 22.31%
Recomb: 1p/1s + 1p/0s | 0c/1c2a, Avg Cost: 0.00, Overall Prob: 22.28%
Recomb: 1p/1s + 1p/1s | 0c/1c2a, Avg Cost: 0.00, Overall Prob: 22.28%
Recomb: 2p/0s + 0p/2s | 0c/2c0a, Avg Cost: 0.00, Overall Prob: 21.97%
Recomb: 2p/0s + 0p/2s | 2c/0c1a, Avg Cost: 0.00, Overall Prob: 21.78%
Recomb: 2p/0s + 0p/2s | 0c/2c2a, Avg Cost: 0.00, Overall Prob: 21.36%
Recomb: 2p/0s + 0p/1s | 0c/1c2a, Avg Cost: 0.00, Overall Prob: 21.29%
Recomb: 1p/1s + 1p/0s | 1c/1c2a, Avg Cost: 0.00, Overall Prob: 21.24%
Recomb: 1p/1s + 1p/1s | 0c/1c1a, Avg Cost: 0.00, Overall Prob: 21.05%
Recomb: 1p/1s + 1p/1s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 21.00%
Recomb: 1p/1s + 1p/1s | 1c/1c2a, Avg Cost: 0.00, Overall Prob: 20.79%
Recomb: 1p/1s + 1p/0s | 2c/0c1a, Avg Cost: 0.00, Overall Prob: 20.63%
Recomb: 2p/0s + 0p/2s | 0c/1c2a, Avg Cost: 0.00, Overall Prob: 20.34%
Recomb: 2p/0s + 0p/1s | 1c/1c2a, Avg Cost: 0.00, Overall Prob: 20.30%
Recomb: 2p/0s + 0p/1s | 2c/0c1a, Avg Cost: 0.00, Overall Prob: 19.72%
Recomb: 1p/1s + 1p/1s | 1c/1c0a, Avg Cost: 0.00, Overall Prob: 19.62%
Recomb: 2p/0s + 0p/2s | 0c/1c1a, Avg Cost: 0.00, Overall Prob: 19.22%
Recomb: 2p/0s + 0p/2s | 1c/1c1a, Avg Cost: 0.00, Overall Prob: 19.17%
