
-------------------------------------
0p/2s
Items: 0p/2s + 1p/1s, Exclusive: 3c/1c2a, Prob: 63.00%
Items: 0p/2s + 1p/1s, Exclusive: 3c/1c1a, Prob: 62.81%
Items: 0p/2s + 1p/1s, Exclusive: 2c/2c0a, Prob: 59.50%
Items: 1p/1s + 1p/1s, Exclusive: 1c/3c0a, Prob: 59.50%
Items: 0p/1s + 1p/1s, Exclusive: 3c/1c2a, Prob: 59.25%
Items: 0p/2s + 1p/0s, Exclusive: 3c/1c2a, Prob: 59.25%
Items: 1p/1s + 1p/1s, Exclusive: 0c/2c2a, Prob: 58.50%
Items: 0p/1s + 1p/1s, Exclusive: 2c/2c1a, Prob: 52.37%
Items: 0p/2s + 1p/0s, Exclusive: 2c/2c1a, Prob: 52.37%
Items: 0p/1s + 1p/1s, Exclusive: 3c/1c1a, Prob: 50.19%
Items: 1p/1s + 1p/1s, Exclusive: 0c/2c1a, Prob: 49.87%
Items: 0p/2s + 2p/0s, Exclusive: 1c/1c2a, Prob: 45.25%
Items: 0p/1s + 1p/1s, Exclusive: 1c/3c0a, Prob: 45.00%
Items: 0p/2s + 1p/0s, Exclusive: 1c/3c0a, Prob: 45.00%
Items: 0p/1s + 1p/1s, Exclusive: 2c/2c0a, Prob: 43.40%
Items: 0p/2s + 1p/0s, Exclusive: 2c/2c0a, Prob: 43.40%
Items: 0p/2s + 1p/1s, Exclusive: 2c/0c0a, Prob: 38.44%
Items: 0p/2s + 1p/1s, Exclusive: 2c/0c2a, Prob: 38.12%
Items: 0p/2s + 2p/0s, Exclusive: 1c/1c1a, Prob: 37.59%
Items: 0p/1s + 1p/1s, Exclusive: 0c/2c2a, Prob: 34.51%
Items: 0p/2s + 1p/1s, Exclusive: 1c/1c1a, Prob: 34.31%
Items: 0p/2s + 2p/0s, Exclusive: 0c/0c0a, Prob: 33.00%
Items: 1p/1s + 1p/1s, Exclusive: 0c/0c0a, Prob: 33.00%
Items: 0p/1s + 1p/1s, Exclusive: 2c/0c2a, Prob: 31.78%
Items: 0p/2s + 1p/0s, Exclusive: 2c/0c2a, Prob: 31.78%
Items: 0p/1s + 1p/1s, Exclusive: 0c/2c1a, Prob: 29.43%
Items: 0p/1s + 1p/1s, Exclusive: 1c/1c1a, Prob: 24.54%
Items: 0p/2s + 1p/0s, Exclusive: 1c/1c1a, Prob: 24.54%
Items: 0p/2s + 1p/0s, Exclusive: 2c/0c1a, Prob: 20.47%
Items: 0p/1s + 1p/1s, Exclusive: 2c/0c0a, Prob: 20.46%
Items: 0p/2s + 1p/0s, Exclusive: 2c/0c0a, Prob: 20.46%
Items: 0p/2s + 1p/0s, Exclusive: 0c/0c0a, Prob: 19.47%
Items: 0p/2s + 1p/0s, Exclusive: 1c/0c2a, Prob: 18.73%

-------------------------------------
2p/1s
Items: 1p/1s + 1p/1s, Exclusive: 4c/2c0a, Prob: 81.00%
Items: 1p/1s + 2p/0s, Exclusive: 3c/3c0a, Prob: 81.00%
Items: 0p/2s + 2p/0s, Exclusive: 3c/3c0a, Prob: 78.50%
Items: 1p/1s + 2p/0s, Exclusive: 3c/3c1a, Prob: 76.62%
Items: 0p/1s + 2p/0s, Exclusive: 3c/3c0a, Prob: 73.50%
Items: 1p/0s + 1p/1s, Exclusive: 3c/3c0a, Prob: 73.50%
Items: 1p/1s + 1p/1s, Exclusive: 4c/2c1a, Prob: 73.50%
Items: 1p/1s + 2p/0s, Exclusive: 3c/3c2a, Prob: 71.00%
Items: 1p/0s + 1p/1s, Exclusive: 4c/2c1a, Prob: 69.75%
Items: 0p/1s + 2p/0s, Exclusive: 3c/3c1a, Prob: 69.12%
Items: 0p/2s + 2p/0s, Exclusive: 3c/3c1a, Prob: 69.12%
Items: 1p/0s + 1p/1s, Exclusive: 4c/2c2a, Prob: 67.25%
Items: 1p/1s + 1p/1s, Exclusive: 4c/2c2a, Prob: 67.25%
Items: 0p/1s + 2p/0s, Exclusive: 3c/3c2a, Prob: 63.50%
Items: 1p/1s + 2p/0s, Exclusive: 2c/2c1a, Prob: 62.25%
Items: 1p/1s + 2p/0s, Exclusive: 0c/4c0a, Prob: 62.00%
Items: 1p/1s + 2p/0s, Exclusive: 2c/2c2a, Prob: 59.75%
Items: 0p/2s + 2p/0s, Exclusive: 3c/1c0a, Prob: 59.50%
Items: 1p/1s + 1p/1s, Exclusive: 3c/1c0a, Prob: 59.50%
Items: 0p/2s + 2p/0s, Exclusive: 3c/1c1a, Prob: 56.62%
Items: 1p/1s + 1p/1s, Exclusive: 3c/1c1a, Prob: 56.62%
Items: 1p/1s + 1p/1s, Exclusive: 3c/1c2a, Prob: 53.50%
Items: 0p/1s + 2p/0s, Exclusive: 3c/1c2a, Prob: 51.00%
Items: 1p/0s + 1p/1s, Exclusive: 3c/1c2a, Prob: 51.00%
Items: 1p/1s + 2p/0s, Exclusive: 0c/2c2a, Prob: 50.38%
Items: 1p/1s + 2p/0s, Exclusive: 0c/2c1a, Prob: 48.83%
Items: 0p/1s + 2p/0s, Exclusive: 3c/1c1a, Prob: 47.88%
Items: 1p/0s + 1p/1s, Exclusive: 3c/1c1a, Prob: 47.88%
Items: 0p/1s + 2p/0s, Exclusive: 2c/2c1a, Prob: 45.87%
Items: 1p/0s + 1p/1s, Exclusive: 2c/2c1a, Prob: 45.87%
Items: 0p/1s + 2p/0s, Exclusive: 3c/1c0a, Prob: 45.00%
Items: 1p/0s + 1p/1s, Exclusive: 3c/1c0a, Prob: 45.00%
Items: 0p/2s + 2p/0s, Exclusive: 2c/2c2a, Prob: 43.63%
Items: 0p/1s + 2p/0s, Exclusive: 2c/2c0a, Prob: 43.40%
Items: 1p/0s + 1p/1s, Exclusive: 2c/2c0a, Prob: 43.40%
Items: 1p/1s + 2p/0s, Exclusive: 0c/2c0a, Prob: 38.44%
Items: 0p/1s + 2p/0s, Exclusive: 2c/1c2a, Prob: 35.75%
Items: 1p/0s + 1p/1s, Exclusive: 2c/1c2a, Prob: 35.75%
Items: 0p/2s + 2p/0s, Exclusive: 0c/0c0a, Prob: 33.00%
Items: 1p/1s + 1p/1s, Exclusive: 0c/0c0a, Prob: 33.00%
Items: 1p/1s + 1p/1s, Exclusive: 0c/2c1a, Prob: 28.88%
Items: 0p/1s + 2p/0s, Exclusive: 0c/2c2a, Prob: 26.81%
Items: 1p/0s + 1p/1s, Exclusive: 0c/2c2a, Prob: 26.81%
Items: 1p/1s + 1p/1s, Exclusive: 0c/2c2a, Prob: 26.81%
Items: 0p/1s + 2p/0s, Exclusive: 0c/2c1a, Prob: 25.99%
Items: 1p/0s + 1p/1s, Exclusive: 0c/2c1a, Prob: 25.99%
Items: 0p/2s + 2p/0s, Exclusive: 2c/0c2a, Prob: 25.62%
Items: 0p/2s + 2p/0s, Exclusive: 0c/1c1a, Prob: 24.13%
Items: 0p/1s + 2p/0s, Exclusive: 2c/0c2a, Prob: 22.48%
Items: 1p/0s + 1p/1s, Exclusive: 0c/1c2a, Prob: 22.28%
Items: 0p/1s + 2p/0s, Exclusive: 0c/2c0a, Prob: 20.46%
Items: 1p/0s + 1p/1s, Exclusive: 0c/2c0a, Prob: 20.46%
Items: 1p/0s + 1p/1s, Exclusive: 2c/0c1a, Prob: 19.21%
Items: 1p/0s + 1p/1s, Exclusive: 2c/0c0a, Prob: 18.29%

-------------------------------------
3p/0s
Items: 1p/0s + 2p/0s, Exclusive: 3c/1c2a, Prob: 36.00%
Items: 1p/0s + 2p/0s, Exclusive: 3c/1c1a, Prob: 36.00%
Items: 1p/0s + 2p/0s, Exclusive: 3c/2c2a, Prob: 36.00%
Items: 1p/0s + 2p/0s, Exclusive: 3c/2c0a, Prob: 36.00%
Items: 1p/0s + 2p/0s, Exclusive: 3c/2c1a, Prob: 36.00%
Items: 1p/1s + 2p/0s, Exclusive: 3c/1c0a, Prob: 36.00%
Items: 1p/1s + 2p/0s, Exclusive: 3c/1c1a, Prob: 36.00%
Items: 1p/1s + 2p/0s, Exclusive: 3c/1c2a, Prob: 36.00%
Items: 1p/1s + 2p/0s, Exclusive: 3c/3c0a, Prob: 36.00%
Items: 1p/1s + 2p/0s, Exclusive: 3c/3c1a, Prob: 36.00%
Items: 1p/1s + 2p/0s, Exclusive: 3c/3c2a, Prob: 36.00%
Items: 2p/0s + 2p/0s, Exclusive: 2c/0c2a, Prob: 36.00%
Items: 2p/0s + 2p/0s, Exclusive: 2c/2c0a, Prob: 36.00%
Items: 2p/0s + 2p/0s, Exclusive: 2c/1c1a, Prob: 36.00%
Items: 2p/0s + 2p/0s, Exclusive: 2c/1c2a, Prob: 36.00%
Items: 2p/0s + 2p/0s, Exclusive: 2c/3c2a, Prob: 36.00%
Items: 2p/0s + 2p/0s, Exclusive: 2c/3c0a, Prob: 36.00%
Items: 2p/0s + 2p/0s, Exclusive: 2c/3c1a, Prob: 36.00%
Items: 2p/0s + 2p/0s, Exclusive: 0c/0c0a, Prob: 31.00%
Items: 2p/0s + 2p/0s, Exclusive: 0c/1c1a, Prob: 31.00%
Items: 1p/0s + 2p/0s, Exclusive: 2c/0c2a, Prob: 28.50%
Items: 1p/0s + 2p/0s, Exclusive: 2c/2c0a, Prob: 28.50%
Items: 1p/1s + 2p/0s, Exclusive: 2c/0c1a, Prob: 28.50%
Items: 1p/1s + 2p/0s, Exclusive: 2c/0c2a, Prob: 28.50%
Items: 1p/0s + 2p/0s, Exclusive: 2c/0c1a, Prob: 16.81%
Items: 1p/0s + 2p/0s, Exclusive: 1c/1c1a, Prob: 15.50%
Items: 1p/0s + 2p/0s, Exclusive: 1c/0c2a, Prob: 15.50%
Items: 1p/0s + 2p/0s, Exclusive: 1c/2c0a, Prob: 15.50%
Items: 1p/0s + 2p/0s, Exclusive: 1c/2c1a, Prob: 15.50%
Items: 1p/0s + 2p/0s, Exclusive: 1c/2c2a, Prob: 15.50%
Items: 1p/1s + 2p/0s, Exclusive: 1c/1c0a, Prob: 15.50%
Items: 1p/0s + 2p/0s, Exclusive: 0c/0c0a, Prob: 10.00%

-------------------------------------
1p/3s
Items: 0p/1s + 1p/2s, Exclusive: 4c/2c1a, Prob: 36.00%
Items: 0p/2s + 1p/1s, Exclusive: 4c/2c1a, Prob: 36.00%
Items: 0p/2s + 1p/2s, Exclusive: 4c/2c0a, Prob: 36.00%
Items: 0p/2s + 2p/1s, Exclusive: 3c/3c0a, Prob: 36.00%
Items: 0p/2s + 2p/1s, Exclusive: 3c/2c1a, Prob: 36.00%
Items: 1p/1s + 1p/2s, Exclusive: 3c/1c2a, Prob: 36.00%
Items: 1p/1s + 1p/2s, Exclusive: 3c/3c0a, Prob: 36.00%
Items: 1p/1s + 1p/2s, Exclusive: 4c/2c1a, Prob: 36.00%
Items: 1p/2s + 1p/2s, Exclusive: 3c/1c1a, Prob: 36.00%
Items: 1p/2s + 1p/2s, Exclusive: 4c/2c0a, Prob: 36.00%
Items: 1p/2s + 2p/1s, Exclusive: 2c/2c1a, Prob: 36.00%
Items: 1p/2s + 2p/1s, Exclusive: 2c/1c2a, Prob: 36.00%
Items: 1p/2s + 2p/1s, Exclusive: 3c/3c0a, Prob: 36.00%
Items: 1p/2s + 2p/1s, Exclusive: 3c/2c1a, Prob: 36.00%
Items: 0p/3s + 1p/2s, Exclusive: 2c/0c0a, Prob: 35.34%
Items: 0p/1s + 1p/2s, Exclusive: 3c/1c2a, Prob: 32.40%
Items: 0p/1s + 1p/2s, Exclusive: 3c/3c0a, Prob: 32.40%
Items: 0p/2s + 1p/1s, Exclusive: 3c/1c2a, Prob: 32.40%
Items: 0p/2s + 1p/1s, Exclusive: 3c/3c0a, Prob: 32.40%
Items: 0p/2s + 1p/2s, Exclusive: 3c/1c1a, Prob: 32.40%
Items: 0p/2s + 2p/1s, Exclusive: 2c/2c1a, Prob: 32.40%
Items: 0p/2s + 2p/1s, Exclusive: 2c/1c2a, Prob: 32.40%
Items: 0p/3s + 1p/1s, Exclusive: 3c/1c1a, Prob: 32.40%
Items: 0p/3s + 1p/2s, Exclusive: 3c/1c0a, Prob: 32.40%
Items: 0p/3s + 2p/0s, Exclusive: 2c/2c1a, Prob: 32.40%
Items: 0p/3s + 2p/1s, Exclusive: 2c/2c0a, Prob: 32.40%
Items: 0p/3s + 2p/1s, Exclusive: 2c/1c1a, Prob: 32.40%
Items: 0p/3s + 3p/0s, Exclusive: 1c/3c0a, Prob: 32.40%
Items: 0p/3s + 3p/0s, Exclusive: 1c/2c1a, Prob: 32.40%
Items: 1p/1s + 1p/2s, Exclusive: 2c/2c1a, Prob: 32.40%
Items: 1p/2s + 1p/2s, Exclusive: 2c/0c2a, Prob: 32.40%
Items: 1p/2s + 1p/2s, Exclusive: 2c/2c0a, Prob: 32.40%
Items: 1p/2s + 2p/1s, Exclusive: 1c/1c2a, Prob: 32.40%
Items: 1p/2s + 2p/1s, Exclusive: 1c/3c0a, Prob: 32.40%
Items: 0p/3s + 2p/1s, Exclusive: 0c/0c0a, Prob: 31.00%
Items: 1p/2s + 1p/2s, Exclusive: 0c/0c0a, Prob: 31.00%
Items: 0p/1s + 1p/2s, Exclusive: 3c/1c1a, Prob: 25.65%
Items: 0p/2s + 1p/1s, Exclusive: 3c/1c1a, Prob: 25.65%
Items: 0p/2s + 1p/2s, Exclusive: 3c/1c0a, Prob: 25.65%
Items: 0p/2s + 2p/1s, Exclusive: 2c/0c2a, Prob: 25.65%
Items: 0p/2s + 2p/1s, Exclusive: 2c/2c0a, Prob: 25.65%
Items: 0p/3s + 1p/0s, Exclusive: 3c/1c1a, Prob: 25.65%
Items: 0p/3s + 1p/1s, Exclusive: 3c/1c0a, Prob: 25.65%
Items: 0p/3s + 2p/0s, Exclusive: 2c/2c0a, Prob: 25.65%
Items: 0p/3s + 2p/1s, Exclusive: 2c/0c1a, Prob: 25.65%
Items: 0p/3s + 3p/0s, Exclusive: 1c/1c1a, Prob: 25.65%
Items: 1p/1s + 1p/2s, Exclusive: 2c/0c2a, Prob: 25.65%
Items: 1p/1s + 1p/2s, Exclusive: 2c/2c0a, Prob: 25.65%
Items: 1p/2s + 1p/2s, Exclusive: 2c/0c1a, Prob: 25.65%
Items: 1p/2s + 2p/1s, Exclusive: 1c/1c1a, Prob: 25.65%
Items: 0p/2s + 1p/2s, Exclusive: 2c/0c2a, Prob: 22.32%
Items: 0p/3s + 1p/2s, Exclusive: 2c/0c1a, Prob: 22.32%
Items: 0p/2s + 1p/2s, Exclusive: 2c/0c0a, Prob: 19.22%
Items: 0p/3s + 1p/1s, Exclusive: 2c/0c0a, Prob: 19.22%
Items: 0p/1s + 1p/2s, Exclusive: 2c/0c2a, Prob: 17.67%
Items: 0p/1s + 1p/2s, Exclusive: 2c/2c0a, Prob: 17.67%
Items: 0p/2s + 1p/1s, Exclusive: 2c/0c2a, Prob: 17.67%
Items: 0p/2s + 1p/1s, Exclusive: 2c/2c0a, Prob: 17.67%
Items: 0p/2s + 1p/2s, Exclusive: 2c/0c1a, Prob: 17.67%
Items: 0p/2s + 2p/1s, Exclusive: 1c/1c1a, Prob: 17.67%
Items: 0p/3s + 1p/0s, Exclusive: 2c/2c0a, Prob: 17.67%
Items: 0p/3s + 1p/1s, Exclusive: 2c/0c1a, Prob: 17.67%
Items: 0p/3s + 2p/0s, Exclusive: 1c/1c1a, Prob: 17.67%
Items: 1p/1s + 1p/2s, Exclusive: 1c/1c1a, Prob: 17.67%
Items: 0p/1s + 1p/2s, Exclusive: 3c/1c0a, Prob: 13.95%
Items: 0p/3s + 3p/0s, Exclusive: 1c/1c0a, Prob: 13.95%
Items: 1p/2s + 2p/1s, Exclusive: 1c/1c0a, Prob: 13.95%
Items: 0p/2s + 2p/1s, Exclusive: 0c/0c0a, Prob: 10.00%
Items: 0p/3s + 2p/0s, Exclusive: 0c/0c0a, Prob: 10.00%
Items: 1p/1s + 1p/2s, Exclusive: 0c/0c0a, Prob: 10.00%
Items: 0p/1s + 1p/2s, Exclusive: 2c/0c1a, Prob: 9.61%
Items: 0p/2s + 1p/1s, Exclusive: 2c/0c1a, Prob: 9.61%
Items: 0p/3s + 1p/0s, Exclusive: 2c/0c1a, Prob: 9.61%
Items: 0p/1s + 1p/2s, Exclusive: 1c/1c1a, Prob: 9.40%
Items: 0p/1s + 1p/2s, Exclusive: 2c/0c0a, Prob: 6.20%
Items: 0p/2s + 1p/1s, Exclusive: 2c/0c0a, Prob: 6.20%
Items: 0p/3s + 1p/0s, Exclusive: 2c/0c0a, Prob: 6.20%
Items: 0p/3s + 1p/0s, Exclusive: 0c/0c0a, Prob: 5.90%
Items: 0p/3s + 1p/0s, Exclusive: 1c/0c1a, Prob: 5.12%

-------------------------------------
2p/2s
Items: 1p/2s + 1p/2s, Exclusive: 4c/2c0a, Prob: 72.00%
Items: 1p/2s + 2p/1s, Exclusive: 3c/3c0a, Prob: 72.00%
Items: 1p/2s + 3p/0s, Exclusive: 2c/4c0a, Prob: 72.00%
Items: 2p/1s + 2p/1s, Exclusive: 2c/4c0a, Prob: 72.00%
Items: 1p/1s + 2p/1s, Exclusive: 3c/3c1a, Prob: 64.80%
Items: 1p/2s + 2p/0s, Exclusive: 3c/3c1a, Prob: 64.80%
Items: 1p/2s + 3p/0s, Exclusive: 0c/4c0a, Prob: 64.80%
Items: 1p/2s + 3p/0s, Exclusive: 2c/3c1a, Prob: 64.80%
Items: 2p/1s + 2p/1s, Exclusive: 2c/3c1a, Prob: 64.80%
Items: 0p/2s + 2p/1s, Exclusive: 3c/3c0a, Prob: 64.50%
Items: 0p/2s + 3p/0s, Exclusive: 2c/4c0a, Prob: 64.50%
Items: 1p/1s + 1p/2s, Exclusive: 4c/2c0a, Prob: 64.50%
Items: 1p/1s + 2p/1s, Exclusive: 3c/3c0a, Prob: 64.50%
Items: 1p/2s + 2p/0s, Exclusive: 3c/3c0a, Prob: 64.50%
Items: 1p/1s + 1p/2s, Exclusive: 4c/2c1a, Prob: 62.40%
Items: 1p/2s + 2p/1s, Exclusive: 3c/2c1a, Prob: 62.40%
Items: 1p/2s + 3p/0s, Exclusive: 0c/3c1a, Prob: 58.32%
Items: 2p/1s + 2p/1s, Exclusive: 0c/3c1a, Prob: 58.32%
Items: 1p/1s + 1p/1s, Exclusive: 4c/2c2a, Prob: 57.60%
Items: 1p/1s + 2p/1s, Exclusive: 3c/2c2a, Prob: 57.60%
Items: 2p/1s + 2p/1s, Exclusive: 2c/2c2a, Prob: 57.60%
Items: 0p/1s + 2p/1s, Exclusive: 3c/3c1a, Prob: 57.30%
Items: 0p/2s + 2p/0s, Exclusive: 3c/3c1a, Prob: 57.30%
Items: 0p/2s + 3p/0s, Exclusive: 2c/3c1a, Prob: 57.30%
Items: 1p/0s + 1p/2s, Exclusive: 3c/3c1a, Prob: 57.30%
Items: 1p/1s + 1p/1s, Exclusive: 3c/3c1a, Prob: 57.30%
