
-------------------------------------
0p/1s
Recomb: 1p/1s + 1p/1s | 2c/1c1a, Prob: 50.19%
Recomb: 0p/2s + 2p/0s | 0c/2c1a, Prob: 49.88%
Recomb: 1p/1s + 1p/1s | 0c/2c1a, Prob: 49.88%
Recomb: 0p/2s + 1p/1s | 2c/1c1a, Prob: 48.81%
Recomb: 0p/2s + 1p/0s | 1c/3c1a, Prob: 45.75%
Recomb: 1p/1s + 0p/1s | 1c/3c1a, Prob: 45.75%
Recomb: 0p/2s + 1p/0s | 2c/1c2a, Prob: 45.25%
Recomb: 0p/2s + 2p/0s | 1c/1c2a, Prob: 45.25%
Recomb: 1p/1s + 0p/1s | 2c/1c2a, Prob: 45.25%
Recomb: 1p/1s + 1p/1s | 1c/1c2a, Prob: 45.25%
Recomb: 0p/2s + 1p/0s | 1c/3c0a, Prob: 45.00%
Recomb: 0p/2s + 1p/1s | 1c/2c0a, Prob: 45.00%
Recomb: 1p/1s + 0p/1s | 1c/3c0a, Prob: 45.00%
Recomb: 0p/2s + 2p/0s | 2c/0c2a, Prob: 44.38%
Recomb: 1p/1s + 1p/1s | 2c/0c2a, Prob: 44.38%
Recomb: 0p/2s + 1p/1s | 1c/2c1a, Prob: 43.50%
Recomb: 0p/2s + 1p/0s | 2c/2c0a, Prob: 43.40%
Recomb: 0p/2s + 1p/1s | 2c/1c0a, Prob: 43.40%
Recomb: 0p/2s + 2p/0s | 1c/2c0a, Prob: 43.40%
Recomb: 1p/1s + 0p/1s | 2c/2c0a, Prob: 43.40%
Recomb: 1p/1s + 1p/1s | 1c/2c0a, Prob: 43.40%
Recomb: 0p/2s + 2p/0s | 0c/1c2a, Prob: 42.75%
Recomb: 1p/1s + 1p/1s | 0c/1c2a, Prob: 42.75%
Recomb: 0p/2s + 1p/0s | 0c/4c0a, Prob: 42.48%
Recomb: 0p/2s + 1p/1s | 0c/3c0a, Prob: 42.48%
Recomb: 1p/1s + 0p/1s | 0c/4c0a, Prob: 42.48%
Recomb: 0p/2s + 1p/0s | 1c/2c2a, Prob: 39.00%
Recomb: 1p/1s + 0p/1s | 1c/2c2a, Prob: 39.00%
Recomb: 0p/2s + 1p/0s | 0c/3c1a, Prob: 38.50%
Recomb: 1p/1s + 0p/1s | 0c/3c1a, Prob: 38.50%
Recomb: 0p/2s + 1p/1s | 2c/0c0a, Prob: 38.44%
Recomb: 0p/2s + 1p/0s | 1c/2c1a, Prob: 37.88%
Recomb: 1p/1s + 0p/1s | 1c/2c1a, Prob: 37.88%
Recomb: 0p/2s + 1p/0s | 2c/1c1a, Prob: 37.59%
Recomb: 0p/2s + 2p/0s | 1c/1c1a, Prob: 37.59%
Recomb: 1p/1s + 0p/1s | 2c/1c1a, Prob: 37.59%
Recomb: 1p/1s + 1p/1s | 1c/1c1a, Prob: 37.59%
Recomb: 0p/2s + 1p/1s | 0c/2c1a, Prob: 37.17%
Recomb: 0p/2s + 1p/0s | 4c/1c0a, Prob: 36.00%
Recomb: 0p/2s + 2p/0s | 3c/1c0a, Prob: 36.00%
Recomb: 0p/2s + 2p/0s | 4c/1c0a, Prob: 36.00%
Recomb: 1p/1s + 0p/1s | 4c/1c0a, Prob: 36.00%
Recomb: 1p/1s + 1p/1s | 3c/1c0a, Prob: 36.00%
Recomb: 1p/1s + 1p/1s | 4c/1c0a, Prob: 36.00%
Recomb: 0p/2s + 1p/0s | 0c/2c2a, Prob: 34.51%
Recomb: 1p/1s + 0p/1s | 0c/2c2a, Prob: 34.51%
Recomb: 0p/2s + 1p/1s | 1c/1c2a, Prob: 34.50%
Recomb: 0p/2s + 1p/1s | 1c/1c1a, Prob: 34.31%
Recomb: 0p/2s + 1p/0s | 0c/3c0a, Prob: 33.63%
Recomb: 0p/2s + 1p/1s | 0c/2c0a, Prob: 33.63%
Recomb: 1p/1s + 0p/1s | 0c/3c0a, Prob: 33.63%
Recomb: 0p/2s + 1p/0s | 4c/0c0a, Prob: 33.00%
Recomb: 0p/2s + 2p/0s | 3c/0c0a, Prob: 33.00%
Recomb: 0p/2s + 2p/0s | 4c/0c0a, Prob: 33.00%
Recomb: 1p/1s + 0p/1s | 4c/0c0a, Prob: 33.00%
Recomb: 1p/1s + 1p/1s | 3c/0c0a, Prob: 33.00%
Recomb: 1p/1s + 1p/1s | 4c/0c0a, Prob: 33.00%
Recomb: 0p/2s + 1p/0s | 3c/1c0a, Prob: 32.90%
Recomb: 0p/2s + 2p/0s | 2c/1c0a, Prob: 32.90%
Recomb: 1p/1s + 0p/1s | 3c/1c0a, Prob: 32.90%
Recomb: 1p/1s + 1p/1s | 2c/1c0a, Prob: 32.90%
Recomb: 0p/2s + 2p/0s | 3c/0c1a, Prob: 32.25%
Recomb: 1p/1s + 1p/1s | 3c/0c1a, Prob: 32.25%
Recomb: 0p/2s + 1p/1s | 0c/1c2a, Prob: 31.86%
Recomb: 0p/2s + 1p/0s | 2c/0c2a, Prob: 31.78%
Recomb: 0p/2s + 1p/1s | 2c/0c1a, Prob: 31.78%
Recomb: 0p/2s + 2p/0s | 1c/0c2a, Prob: 31.78%
Recomb: 1p/1s + 0p/1s | 2c/0c2a, Prob: 31.78%
Recomb: 1p/1s + 1p/1s | 1c/0c2a, Prob: 31.78%
Recomb: 0p/2s + 2p/0s | 0c/2c0a, Prob: 31.00%
Recomb: 1p/1s + 1p/1s | 0c/2c0a, Prob: 31.00%
Recomb: 0p/2s + 1p/0s | 1c/1c2a, Prob: 30.75%
Recomb: 1p/1s + 0p/1s | 1c/1c2a, Prob: 30.75%
Recomb: 0p/2s + 1p/0s | 1c/2c0a, Prob: 30.35%
Recomb: 0p/2s + 1p/1s | 1c/1c0a, Prob: 30.35%
Recomb: 1p/1s + 0p/1s | 1c/2c0a, Prob: 30.35%
Recomb: 0p/2s + 1p/0s | 3c/0c0a, Prob: 29.70%
Recomb: 0p/2s + 2p/0s | 2c/0c0a, Prob: 29.70%
Recomb: 1p/1s + 0p/1s | 3c/0c0a, Prob: 29.70%
Recomb: 1p/1s + 1p/1s | 2c/0c0a, Prob: 29.70%
Recomb: 0p/2s + 1p/0s | 0c/2c1a, Prob: 29.43%
Recomb: 1p/1s + 0p/1s | 0c/2c1a, Prob: 29.43%
Recomb: 0p/2s + 1p/0s | 3c/0c1a, Prob: 29.15%
Recomb: 0p/2s + 2p/0s | 2c/0c1a, Prob: 29.15%
Recomb: 1p/1s + 0p/1s | 3c/0c1a, Prob: 29.15%
Recomb: 1p/1s + 1p/1s | 2c/0c1a, Prob: 29.15%
Recomb: 0p/2s + 1p/1s | 0c/1c1a, Prob: 27.32%
Recomb: 0p/2s + 1p/0s | 0c/1c2a, Prob: 25.22%
Recomb: 1p/1s + 0p/1s | 0c/1c2a, Prob: 25.22%
Recomb: 0p/2s + 2p/0s | 0c/1c1a, Prob: 25.19%
Recomb: 1p/1s + 1p/1s | 0c/1c1a, Prob: 25.19%
Recomb: 0p/2s + 1p/0s | 1c/1c1a, Prob: 24.54%
Recomb: 1p/1s + 0p/1s | 1c/1c1a, Prob: 24.54%
Recomb: 0p/2s + 1p/0s | 2c/1c0a, Prob: 24.22%
Recomb: 0p/2s + 2p/0s | 1c/1c0a, Prob: 24.22%
Recomb: 1p/1s + 0p/1s | 2c/1c0a, Prob: 24.22%
Recomb: 1p/1s + 1p/1s | 1c/1c0a, Prob: 24.22%
Recomb: 0p/2s + 1p/1s | 1c/0c2a, Prob: 23.62%
Recomb: 0p/2s + 1p/1s | 0c/0c2a, Prob: 21.02%
Recomb: 0p/2s + 1p/0s | 2c/0c1a, Prob: 20.47%
Recomb: 0p/2s + 2p/0s | 1c/0c1a, Prob: 20.47%
Recomb: 1p/1s + 0p/1s | 2c/0c1a, Prob: 20.47%
Recomb: 1p/1s + 1p/1s | 1c/0c1a, Prob: 20.47%
Recomb: 0p/2s + 1p/1s | 1c/0c0a, Prob: 20.46%
Recomb: 0p/2s + 1p/0s | 2c/0c0a, Prob: 20.46%
Recomb: 0p/2s + 2p/0s | 1c/0c0a, Prob: 20.46%
Recomb: 1p/1s + 0p/1s | 2c/0c0a, Prob: 20.46%
Recomb: 1p/1s + 1p/1s | 1c/0c0a, Prob: 20.46%
Recomb: 0p/2s + 2p/0s | 0c/0c2a, Prob: 19.38%
Recomb: 1p/1s + 1p/1s | 0c/0c2a, Prob: 19.38%
Recomb: 0p/2s + 1p/0s | 1c/0c2a, Prob: 18.73%
Recomb: 0p/2s + 1p/1s | 1c/0c1a, Prob: 18.73%
Recomb: 1p/1s + 0p/1s | 1c/0c2a, Prob: 18.73%
Recomb: 0p/2s + 1p/0s | 0c/2c0a, Prob: 18.29%
Recomb: 0p/2s + 1p/1s | 0c/1c0a, Prob: 18.29%
Recomb: 1p/1s + 0p/1s | 0c/2c0a, Prob: 18.29%
Recomb: 0p/2s + 1p/0s | 1c/1c0a, Prob: 15.23%
Recomb: 1p/1s + 0p/1s | 1c/1c0a, Prob: 15.23%
Recomb: 0p/2s + 1p/0s | 0c/1c1a, Prob: 14.86%
Recomb: 1p/1s + 0p/1s | 0c/1c1a, Prob: 14.86%
Recomb: 0p/2s + 1p/0s | 1c/0c1a, Prob: 11.48%
Recomb: 1p/1s + 0p/1s | 1c/0c1a, Prob: 11.48%
Recomb: 0p/2s + 1p/0s | 0c/0c2a, Prob: 11.43%
Recomb: 0p/2s + 1p/1s | 0c/0c1a, Prob: 11.43%
Recomb: 1p/1s + 0p/1s | 0c/0c2a, Prob: 11.43%
Recomb: 0p/2s + 1p/0s | 1c/0c0a, Prob: 10.89%
Recomb: 1p/1s + 0p/1s | 1c/0c0a, Prob: 10.89%
Recomb: 0p/2s + 2p/0s | 0c/1c0a, Prob: 10.00%
Recomb: 1p/1s + 1p/1s | 0c/1c0a, Prob: 10.00%
Recomb: 0p/2s + 2p/0s | 0c/0c1a, Prob: 6.25%
Recomb: 1p/1s + 1p/1s | 0c/0c1a, Prob: 6.25%
Recomb: 0p/2s + 1p/0s | 0c/1c0a, Prob: 5.90%
Recomb: 1p/1s + 0p/1s | 0c/1c0a, Prob: 5.90%
Recomb: 0p/2s + 2p/0s | 0c/0c0a, Prob: 5.45%
Recomb: 1p/1s + 1p/1s | 0c/0c0a, Prob: 5.45%
Recomb: 0p/2s + 1p/0s | 0c/0c1a, Prob: 3.69%
Recomb: 1p/1s + 0p/1s | 0c/0c1a, Prob: 3.69%
Recomb: 0p/2s + 1p/1s | 0c/0c0a, Prob: 2.95%

-------------------------------------
1p/3s
Recomb: 0p/3s + 2p/0s | 3c/3c0a, Prob: 36.00%
Recomb: 0p/3s + 3p/0s | 2c/2c1a, Prob: 36.00%
Recomb: 0p/3s + 3p/0s | 2c/3c0a, Prob: 36.00%
Recomb: 0p/3s + 3p/0s | 3c/3c0a, Prob: 36.00%
Recomb: 1p/2s + 1p/1s | 3c/3c0a, Prob: 36.00%
Recomb: 1p/2s + 2p/1s | 2c/2c1a, Prob: 36.00%
Recomb: 1p/2s + 2p/1s | 2c/3c0a, Prob: 36.00%
Recomb: 1p/2s + 2p/1s | 3c/3c0a, Prob: 36.00%
Recomb: 0p/2s + 1p/1s | 3c/3c0a, Prob: 32.40%
Recomb: 0p/3s + 1p/0s | 3c/3c0a, Prob: 32.40%
Recomb: 0p/3s + 2p/0s | 2c/2c1a, Prob: 32.40%
Recomb: 0p/3s + 2p/0s | 2c/3c0a, Prob: 32.40%
Recomb: 0p/3s + 2p/1s | 2c/2c0a, Prob: 32.40%
Recomb: 0p/3s + 3p/0s | 1c/1c2a, Prob: 32.40%
Recomb: 0p/3s + 3p/0s | 1c/2c1a, Prob: 32.40%
Recomb: 0p/3s + 3p/0s | 1c/3c0a, Prob: 32.40%
Recomb: 1p/2s + 0p/1s | 3c/3c0a, Prob: 32.40%
Recomb: 1p/2s + 1p/1s | 2c/2c1a, Prob: 32.40%
Recomb: 1p/2s + 1p/1s | 2c/3c0a, Prob: 32.40%
Recomb: 1p/2s + 1p/2s | 2c/2c0a, Prob: 32.40%
Recomb: 1p/2s + 2p/1s | 1c/1c2a, Prob: 32.40%
Recomb: 1p/2s + 2p/1s | 1c/2c1a, Prob: 32.40%
Recomb: 1p/2s + 2p/1s | 1c/3c0a, Prob: 32.40%
Recomb: 0p/3s + 2p/0s | 3c/2c0a, Prob: 28.50%
Recomb: 0p/3s + 3p/0s | 2c/1c1a, Prob: 28.50%
Recomb: 0p/3s + 3p/0s | 2c/2c0a, Prob: 28.50%
Recomb: 0p/3s + 3p/0s | 3c/2c0a, Prob: 28.50%
Recomb: 1p/2s + 1p/1s | 3c/2c0a, Prob: 28.50%
Recomb: 1p/2s + 2p/1s | 2c/1c1a, Prob: 28.50%
Recomb: 1p/2s + 2p/1s | 2c/2c0a, Prob: 28.50%
Recomb: 1p/2s + 2p/1s | 3c/2c0a, Prob: 28.50%
Recomb: 0p/3s + 2p/1s | 2c/0c0a, Prob: 27.90%
Recomb: 1p/2s + 1p/2s | 2c/0c0a, Prob: 27.90%
Recomb: 0p/2s + 1p/1s | 3c/2c0a, Prob: 25.65%
Recomb: 0p/3s + 1p/0s | 3c/2c0a, Prob: 25.65%
Recomb: 0p/3s + 2p/0s | 2c/1c1a, Prob: 25.65%
Recomb: 0p/3s + 2p/0s | 2c/2c0a, Prob: 25.65%
Recomb: 0p/3s + 2p/1s | 2c/1c0a, Prob: 25.65%
Recomb: 0p/3s + 3p/0s | 1c/0c2a, Prob: 25.65%
Recomb: 0p/3s + 3p/0s | 1c/1c1a, Prob: 25.65%
Recomb: 0p/3s + 3p/0s | 1c/2c0a, Prob: 25.65%
Recomb: 1p/2s + 0p/1s | 3c/2c0a, Prob: 25.65%
Recomb: 1p/2s + 1p/1s | 2c/1c1a, Prob: 25.65%
Recomb: 1p/2s + 1p/1s | 2c/2c0a, Prob: 25.65%
Recomb: 1p/2s + 1p/2s | 2c/1c0a, Prob: 25.65%
Recomb: 1p/2s + 2p/1s | 1c/0c2a, Prob: 25.65%
Recomb: 1p/2s + 2p/1s | 1c/1c1a, Prob: 25.65%
Recomb: 1p/2s + 2p/1s | 1c/2c0a, Prob: 25.65%
Recomb: 0p/2s + 1p/1s | 2c/2c1a, Prob: 22.32%
Recomb: 0p/2s + 1p/1s | 2c/3c0a, Prob: 22.32%
Recomb: 0p/3s + 1p/0s | 2c/2c1a, Prob: 22.32%
Recomb: 0p/3s + 1p/0s | 2c/3c0a, Prob: 22.32%
Recomb: 0p/3s + 1p/1s | 2c/2c0a, Prob: 22.32%
Recomb: 0p/3s + 2p/0s | 1c/1c2a, Prob: 22.32%
Recomb: 0p/3s + 2p/0s | 1c/2c1a, Prob: 22.32%
Recomb: 0p/3s + 2p/0s | 1c/3c0a, Prob: 22.32%
Recomb: 0p/3s + 2p/1s | 1c/1c1a, Prob: 22.32%
Recomb: 0p/3s + 2p/1s | 1c/2c0a, Prob: 22.32%
Recomb: 1p/2s + 0p/1s | 2c/2c1a, Prob: 22.32%
Recomb: 1p/2s + 0p/1s | 2c/3c0a, Prob: 22.32%
Recomb: 1p/2s + 0p/2s | 2c/2c0a, Prob: 22.32%
Recomb: 1p/2s + 1p/1s | 1c/1c2a, Prob: 22.32%
Recomb: 1p/2s + 1p/1s | 1c/2c1a, Prob: 22.32%
Recomb: 1p/2s + 1p/1s | 1c/3c0a, Prob: 22.32%
Recomb: 1p/2s + 1p/2s | 1c/1c1a, Prob: 22.32%
Recomb: 1p/2s + 1p/2s | 1c/2c0a, Prob: 22.32%
Recomb: 0p/3s + 1p/1s | 2c/0c0a, Prob: 19.22%
Recomb: 0p/3s + 2p/1s | 1c/0c0a, Prob: 19.22%
Recomb: 1p/2s + 0p/2s | 2c/0c0a, Prob: 19.22%
Recomb: 1p/2s + 1p/2s | 1c/0c0a, Prob: 19.22%
Recomb: 0p/3s + 1p/2s | 1c/0c0a, Prob: 18.81%
Recomb: 0p/2s + 1p/1s | 2c/1c1a, Prob: 17.67%
Recomb: 0p/2s + 1p/1s | 2c/2c0a, Prob: 17.67%
Recomb: 0p/3s + 1p/0s | 2c/1c1a, Prob: 17.67%
Recomb: 0p/3s + 1p/0s | 2c/2c0a, Prob: 17.67%
Recomb: 0p/3s + 1p/1s | 2c/1c0a, Prob: 17.67%
Recomb: 0p/3s + 2p/0s | 1c/0c2a, Prob: 17.67%
Recomb: 0p/3s + 2p/0s | 1c/1c1a, Prob: 17.67%
Recomb: 0p/3s + 2p/0s | 1c/2c0a, Prob: 17.67%
Recomb: 0p/3s + 2p/1s | 1c/0c1a, Prob: 17.67%
Recomb: 0p/3s + 2p/1s | 1c/1c0a, Prob: 17.67%
Recomb: 1p/2s + 0p/1s | 2c/1c1a, Prob: 17.67%
Recomb: 1p/2s + 0p/1s | 2c/2c0a, Prob: 17.67%
Recomb: 1p/2s + 0p/2s | 2c/1c0a, Prob: 17.67%
Recomb: 1p/2s + 1p/1s | 1c/0c2a, Prob: 17.67%
Recomb: 1p/2s + 1p/1s | 1c/1c1a, Prob: 17.67%
Recomb: 1p/2s + 1p/1s | 1c/2c0a, Prob: 17.67%
Recomb: 1p/2s + 1p/2s | 1c/0c1a, Prob: 17.67%
Recomb: 1p/2s + 1p/2s | 1c/1c0a, Prob: 17.67%
Recomb: 0p/3s + 2p/0s | 3c/1c0a, Prob: 15.50%
Recomb: 0p/3s + 3p/0s | 2c/0c1a, Prob: 15.50%
Recomb: 0p/3s + 3p/0s | 2c/1c0a, Prob: 15.50%
Recomb: 0p/3s + 3p/0s | 3c/1c0a, Prob: 15.50%
Recomb: 1p/2s + 1p/1s | 3c/1c0a, Prob: 15.50%
Recomb: 1p/2s + 2p/1s | 2c/0c1a, Prob: 15.50%
Recomb: 1p/2s + 2p/1s | 2c/1c0a, Prob: 15.50%
Recomb: 1p/2s + 2p/1s | 3c/1c0a, Prob: 15.50%
Recomb: 0p/2s + 1p/1s | 3c/1c0a, Prob: 13.95%
Recomb: 0p/3s + 1p/0s | 3c/1c0a, Prob: 13.95%
Recomb: 0p/3s + 2p/0s | 2c/0c1a, Prob: 13.95%
Recomb: 0p/3s + 2p/0s | 2c/1c0a, Prob: 13.95%
Recomb: 0p/3s + 3p/0s | 1c/0c1a, Prob: 13.95%
Recomb: 0p/3s + 3p/0s | 1c/1c0a, Prob: 13.95%
Recomb: 1p/2s + 0p/1s | 3c/1c0a, Prob: 13.95%
Recomb: 1p/2s + 1p/1s | 2c/0c1a, Prob: 13.95%
Recomb: 1p/2s + 1p/1s | 2c/1c0a, Prob: 13.95%
Recomb: 1p/2s + 2p/1s | 1c/0c1a, Prob: 13.95%
Recomb: 1p/2s + 2p/1s | 1c/1c0a, Prob: 13.95%
Recomb: 0p/2s + 1p/1s | 1c/1c2a, Prob: 11.88%
Recomb: 0p/2s + 1p/1s | 1c/2c1a, Prob: 11.88%
Recomb: 0p/2s + 1p/1s | 1c/3c0a, Prob: 11.88%
Recomb: 0p/3s + 1p/0s | 1c/1c2a, Prob: 11.88%
Recomb: 0p/3s + 1p/0s | 1c/2c1a, Prob: 11.88%
Recomb: 0p/3s + 1p/0s | 1c/3c0a, Prob: 11.88%
Recomb: 0p/3s + 1p/1s | 1c/1c1a, Prob: 11.88%
Recomb: 0p/3s + 1p/1s | 1c/2c0a, Prob: 11.88%
Recomb: 0p/3s + 1p/2s | 1c/1c0a, Prob: 11.88%
Recomb: 1p/2s + 0p/1s | 1c/1c2a, Prob: 11.88%
Recomb: 1p/2s + 0p/1s | 1c/2c1a, Prob: 11.88%
Recomb: 1p/2s + 0p/1s | 1c/3c0a, Prob: 11.88%
Recomb: 1p/2s + 0p/2s | 1c/1c1a, Prob: 11.88%
Recomb: 1p/2s + 0p/2s | 1c/2c0a, Prob: 11.88%
Recomb: 0p/3s + 1p/1s | 1c/0c0a, Prob: 10.23%
Recomb: 1p/2s + 0p/2s | 1c/0c0a, Prob: 10.23%
Recomb: 0p/3s + 2p/0s | 3c/0c0a, Prob: 10.00%
Recomb: 0p/3s + 3p/0s | 2c/0c0a, Prob: 10.00%
Recomb: 0p/3s + 3p/0s | 3c/0c0a, Prob: 10.00%
Recomb: 1p/2s + 1p/1s | 3c/0c0a, Prob: 10.00%
Recomb: 1p/2s + 2p/1s | 2c/0c0a, Prob: 10.00%
Recomb: 1p/2s + 2p/1s | 3c/0c0a, Prob: 10.00%
Recomb: 0p/2s + 1p/1s | 2c/0c1a, Prob: 9.61%
Recomb: 0p/2s + 1p/1s | 2c/1c0a, Prob: 9.61%
Recomb: 0p/3s + 1p/0s | 2c/0c1a, Prob: 9.61%
Recomb: 0p/3s + 1p/0s | 2c/1c0a, Prob: 9.61%
Recomb: 0p/3s + 2p/0s | 1c/0c1a, Prob: 9.61%
Recomb: 0p/3s + 2p/0s | 1c/1c0a, Prob: 9.61%
Recomb: 1p/2s + 0p/1s | 2c/0c1a, Prob: 9.61%
Recomb: 1p/2s + 0p/1s | 2c/1c0a, Prob: 9.61%
Recomb: 1p/2s + 1p/1s | 1c/0c1a, Prob: 9.61%
Recomb: 1p/2s + 1p/1s | 1c/1c0a, Prob: 9.61%
Recomb: 0p/2s + 1p/1s | 1c/0c2a, Prob: 9.40%
Recomb: 0p/2s + 1p/1s | 1c/1c1a, Prob: 9.40%
Recomb: 0p/2s + 1p/1s | 1c/2c0a, Prob: 9.40%
Recomb: 0p/3s + 1p/0s | 1c/0c2a, Prob: 9.40%
Recomb: 0p/3s + 1p/0s | 1c/1c1a, Prob: 9.40%
Recomb: 0p/3s + 1p/0s | 1c/2c0a, Prob: 9.40%
Recomb: 0p/3s + 1p/1s | 1c/0c1a, Prob: 9.40%
Recomb: 0p/3s + 1p/1s | 1c/1c0a, Prob: 9.40%
Recomb: 1p/2s + 0p/1s | 1c/0c2a, Prob: 9.40%
Recomb: 1p/2s + 0p/1s | 1c/1c1a, Prob: 9.40%
Recomb: 1p/2s + 0p/1s | 1c/2c0a, Prob: 9.40%
Recomb: 1p/2s + 0p/2s | 1c/0c1a, Prob: 9.40%
Recomb: 1p/2s + 0p/2s | 1c/1c0a, Prob: 9.40%
Recomb: 0p/2s + 1p/1s | 3c/0c0a, Prob: 9.00%
Recomb: 0p/3s + 1p/0s | 3c/0c0a, Prob: 9.00%
Recomb: 0p/3s + 2p/0s | 2c/0c0a, Prob: 9.00%
Recomb: 0p/3s + 3p/0s | 1c/0c0a, Prob: 9.00%
Recomb: 1p/2s + 0p/1s | 3c/0c0a, Prob: 9.00%
Recomb: 1p/2s + 1p/1s | 2c/0c0a, Prob: 9.00%
Recomb: 1p/2s + 2p/1s | 1c/0c0a, Prob: 9.00%
Recomb: 0p/2s + 1p/1s | 2c/0c0a, Prob: 6.20%
Recomb: 0p/3s + 1p/0s | 2c/0c0a, Prob: 6.20%
Recomb: 0p/3s + 2p/0s | 1c/0c0a, Prob: 6.20%
Recomb: 1p/2s + 0p/1s | 2c/0c0a, Prob: 6.20%
Recomb: 1p/2s + 1p/1s | 1c/0c0a, Prob: 6.20%
Recomb: 0p/2s + 1p/1s | 1c/0c1a, Prob: 5.12%
Recomb: 0p/2s + 1p/1s | 1c/1c0a, Prob: 5.12%
Recomb: 0p/3s + 1p/0s | 1c/0c1a, Prob: 5.12%
Recomb: 0p/3s + 1p/0s | 1c/1c0a, Prob: 5.12%
Recomb: 0p/3s + 2p/1s | 0c/0c0a, Prob: 5.12%
Recomb: 1p/2s + 0p/1s | 1c/0c1a, Prob: 5.12%
Recomb: 1p/2s + 0p/1s | 1c/1c0a, Prob: 5.12%
Recomb: 1p/2s + 1p/2s | 0c/0c0a, Prob: 5.12%
Recomb: 0p/2s + 1p/1s | 1c/0c0a, Prob: 3.30%
Recomb: 0p/3s + 1p/0s | 1c/0c0a, Prob: 3.30%
Recomb: 1p/2s + 0p/1s | 1c/0c0a, Prob: 3.30%
Recomb: 0p/3s + 3p/0s | 0c/0c0a, Prob: 3.10%
Recomb: 1p/2s + 2p/1s | 0c/0c0a, Prob: 3.10%
Recomb: 0p/3s + 2p/0s | 0c/0c0a, Prob: 1.65%
Recomb: 1p/2s + 1p/1s | 0c/0c0a, Prob: 1.65%

-------------------------------------
2p/2s
Recomb: 1p/2s + 2p/1s | 3c/3c0a, Prob: 72.00%
Recomb: 1p/2s + 3p/0s | 2c/4c0a, Prob: 72.00%
Recomb: 2p/1s + 2p/1s | 2c/4c0a, Prob: 72.00%
Recomb: 1p/2s + 2p/0s | 3c/3c1a, Prob: 64.80%
Recomb: 1p/2s + 3p/0s | 0c/4c0a, Prob: 64.80%
Recomb: 1p/2s + 3p/0s | 2c/3c1a, Prob: 64.80%
Recomb: 2p/1s + 1p/1s | 3c/3c1a, Prob: 64.80%
Recomb: 2p/1s + 2p/1s | 0c/4c0a, Prob: 64.80%
Recomb: 2p/1s + 2p/1s | 2c/3c1a, Prob: 64.80%
Recomb: 1p/2s + 1p/1s | 3c/3c0a, Prob: 64.50%
Recomb: 1p/2s + 2p/0s | 2c/4c0a, Prob: 64.50%
Recomb: 1p/2s + 2p/1s | 2c/3c0a, Prob: 64.50%
Recomb: 1p/2s + 2p/0s | 3c/3c0a, Prob: 64.50%
Recomb: 1p/2s + 2p/1s | 3c/2c0a, Prob: 64.50%
Recomb: 1p/2s + 3p/0s | 1c/4c0a, Prob: 64.50%
Recomb: 1p/2s + 3p/0s | 2c/3c0a, Prob: 64.50%
Recomb: 2p/1s + 0p/2s | 3c/3c0a, Prob: 64.50%
Recomb: 2p/1s + 1p/1s | 2c/4c0a, Prob: 64.50%
Recomb: 2p/1s + 1p/1s | 3c/3c0a, Prob: 64.50%
Recomb: 2p/1s + 2p/1s | 1c/4c0a, Prob: 64.50%
Recomb: 2p/1s + 2p/1s | 2c/3c0a, Prob: 64.50%
Recomb: 1p/2s + 3p/0s | 0c/3c1a, Prob: 58.32%
Recomb: 2p/1s + 2p/1s | 0c/3c1a, Prob: 58.32%
Recomb: 1p/2s + 3p/0s | 2c/2c2a, Prob: 57.60%
Recomb: 2p/1s + 2p/1s | 2c/2c2a, Prob: 57.60%
Recomb: 0p/2s + 2p/0s | 3c/3c1a, Prob: 57.30%
Recomb: 1p/1s + 1p/1s | 3c/3c1a, Prob: 57.30%
Recomb: 1p/2s + 1p/0s | 3c/3c1a, Prob: 57.30%
Recomb: 1p/2s + 2p/0s | 2c/3c1a, Prob: 57.30%
Recomb: 1p/2s + 3p/0s | 1c/3c1a, Prob: 57.30%
Recomb: 2p/1s + 0p/1s | 3c/3c1a, Prob: 57.30%
Recomb: 2p/1s + 1p/1s | 2c/3c1a, Prob: 57.30%
Recomb: 2p/1s + 2p/1s | 1c/3c1a, Prob: 57.30%
Recomb: 0p/2s + 2p/0s | 3c/3c0a, Prob: 57.00%
Recomb: 1p/1s + 1p/1s | 3c/3c0a, Prob: 57.00%
Recomb: 1p/2s + 1p/0s | 3c/3c0a, Prob: 57.00%
Recomb: 1p/2s + 1p/1s | 3c/2c0a, Prob: 57.00%
Recomb: 1p/2s + 2p/0s | 2c/3c0a, Prob: 57.00%
Recomb: 1p/2s + 2p/1s | 2c/2c0a, Prob: 57.00%
Recomb: 1p/2s + 3p/0s | 1c/3c0a, Prob: 57.00%
Recomb: 2p/1s + 0p/1s | 3c/3c0a, Prob: 57.00%
Recomb: 2p/1s + 0p/2s | 3c/2c0a, Prob: 57.00%
Recomb: 2p/1s + 1p/1s | 2c/3c0a, Prob: 57.00%
Recomb: 2p/1s + 2p/1s | 1c/3c0a, Prob: 57.00%
Recomb: 1p/2s + 2p/0s | 3c/2c1a, Prob: 56.90%
Recomb: 1p/2s + 3p/0s | 2c/2c1a, Prob: 56.90%
Recomb: 2p/1s + 1p/1s | 3c/2c1a, Prob: 56.90%
Recomb: 2p/1s + 2p/1s | 2c/2c1a, Prob: 56.90%
Recomb: 1p/2s + 2p/1s | 2c/2c1a, Prob: 54.90%
