
-------------------------------------
0p/1s
Recomb: 0p/0s + 1p/0s | 3c/1c2a, Prob: 78.33%
Recomb: 0p/0s + 1p/0s | 2c/4c1a, Prob: 76.00%
Recomb: 0p/0s + 1p/0s | 2c/3c1a, Prob: 74.75%
Recomb: 0p/0s + 1p/0s | 3c/0c1a, Prob: 74.50%
Recomb: 0p/0s + 1p/0s | 3c/1c0a, Prob: 74.50%
Recomb: 0p/0s + 1p/0s | 2c/2c1a, Prob: 72.67%
Recomb: 0p/0s + 1p/0s | 2c/4c2a, Prob: 72.67%
Recomb: 0p/0s + 1p/0s | 2c/3c2a, Prob: 71.00%
Recomb: 0p/0s + 1p/0s | 2c/1c1a, Prob: 68.50%
Recomb: 0p/0s + 1p/0s | 2c/2c2a, Prob: 68.50%
Recomb: 0p/0s + 1p/0s | 1c/0c2a, Prob: 66.50%
Recomb: 0p/0s + 1p/0s | 1c/2c0a, Prob: 66.50%
Recomb: 0p/0s + 1p/0s | 1c/3c0a, Prob: 66.50%
Recomb: 0p/0s + 1p/0s | 1c/4c0a, Prob: 66.50%
Recomb: 0p/0s + 1p/0s | 1c/5c0a, Prob: 66.50%
Recomb: 0p/0s + 1p/0s | 2c/1c2a, Prob: 64.33%
Recomb: 0p/0s + 1p/0s | 1c/5c1a, Prob: 62.33%
Recomb: 0p/0s + 1p/0s | 2c/0c0a, Prob: 62.00%
Recomb: 0p/0s + 1p/0s | 1c/4c1a, Prob: 61.50%
Recomb: 0p/0s + 1p/0s | 2c/0c1a, Prob: 60.50%
Recomb: 0p/0s + 1p/0s | 2c/1c0a, Prob: 60.50%
Recomb: 0p/0s + 1p/0s | 1c/3c1a, Prob: 60.25%
Recomb: 0p/0s + 1p/0s | 0c/0c2a, Prob: 59.00%
Recomb: 0p/0s + 1p/0s | 0c/2c0a, Prob: 59.00%
Recomb: 0p/0s + 1p/0s | 0c/3c0a, Prob: 59.00%
Recomb: 0p/0s + 1p/0s | 0c/4c0a, Prob: 59.00%
Recomb: 0p/0s + 1p/0s | 0c/5c0a, Prob: 59.00%
Recomb: 0p/0s + 1p/0s | 0c/6c0a, Prob: 59.00%
Recomb: 0p/0s + 1p/0s | 1c/2c1a, Prob: 58.17%
Recomb: 0p/0s + 1p/0s | 1c/4c2a, Prob: 58.17%
Recomb: 0p/0s + 1p/0s | 0c/5c1a, Prob: 56.54%
Recomb: 0p/0s + 1p/0s | 1c/3c2a, Prob: 56.50%
Recomb: 0p/0s + 1p/0s | 0c/4c1a, Prob: 56.05%
Recomb: 0p/0s + 1p/0s | 0c/3c1a, Prob: 55.31%
Recomb: 0p/0s + 1p/0s | 0c/2c1a, Prob: 54.08%
Recomb: 0p/0s + 1p/0s | 0c/4c2a, Prob: 54.08%
Recomb: 0p/0s + 1p/0s | 1c/1c1a, Prob: 54.00%
Recomb: 0p/0s + 1p/0s | 1c/2c2a, Prob: 54.00%
Recomb: 0p/0s + 1p/0s | 0c/3c2a, Prob: 53.10%
Recomb: 0p/0s + 1p/0s | 0c/1c1a, Prob: 51.62%
Recomb: 0p/0s + 1p/0s | 0c/2c2a, Prob: 51.62%
Recomb: 0p/0s + 1p/0s | 1c/1c2a, Prob: 49.83%
Recomb: 0p/0s + 1p/0s | 0c/1c2a, Prob: 49.17%
Recomb: 0p/0s + 1p/0s | 1c/0c1a, Prob: 46.00%
Recomb: 0p/0s + 1p/0s | 1c/1c0a, Prob: 46.00%
Recomb: 0p/0s + 1p/0s | 0c/0c1a, Prob: 34.81%
Recomb: 0p/0s + 1p/0s | 0c/1c0a, Prob: 34.81%
Recomb: 0p/0s + 1p/0s | 1c/0c0a, Prob: 33.00%

-------------------------------------
0p/2s
Recomb: 0p/1s + 0p/1s | 2c/4c0a, Prob: 86.00%
Recomb: 0p/1s + 0p/1s | 2c/3c1a, Prob: 80.00%
Recomb: 0p/1s + 0p/1s | 3c/3c1a, Prob: 80.00%
Recomb: 0p/1s + 0p/1s | 2c/3c0a, Prob: 78.50%
Recomb: 0p/1s + 0p/1s | 3c/3c0a, Prob: 78.50%
Recomb: 0p/1s + 0p/1s | 2c/2c2a, Prob: 74.00%
Recomb: 0p/1s + 0p/1s | 2c/2c1a, Prob: 72.17%
Recomb: 0p/1s + 0p/1s | 3c/2c1a, Prob: 72.17%
Recomb: 0p/1s + 0p/1s | 0c/4c0a, Prob: 72.00%
Recomb: 0p/1s + 0p/1s | 0c/3c1a, Prob: 66.00%
